# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8708987123030427,3.8651118173022865,55.71146159852098,0,3.0,-0.018112958743403976,180.0,0.0,0.0
 0.09145457326719957,1.877966585112274,3.8754773849649706,55.71146159852098,0.2743637198015987,3.0,-0.018112958743403976,180.0,-0.3446716590955302,0.0
 0.1290808731781533,1.8849810075484257,3.885759562721164,55.698492879305036,0.3872426195344599,2.999999999999999,-0.020081960564278308,180.0,-0.4970700487202081,0.0
 0.15777884035337209,1.8919424806871585,3.8959586686869536,55.68422797936308,0.47333652106011626,3.0000000000000018,-0.02212324133302998,180.0,-0.6482915955172798,0.0
 0.18182732177925587,1.8988515056041322,3.9060750209784256,55.668637550969734,0.5454819653377676,3.0,-0.02423911704607698,180.0,-0.804647630102665,0.0
 0.20288734177992832,1.9057085833750063,3.916108937711666,55.65169165578628,0.608662025339785,3.0000000000000013,-0.026431972020022752,180.0,-0.9686481729168748,0.0
 0.22181258380411398,1.9125142150754415,3.9260607370027607,55.633359754677535,0.665437751412342,3.0,-0.028704261569588437,180.0,-1.1416525405884106,0.0
 0.23911124209534707,1.9192689017810978,3.9359307369677974,55.61361069749058,0.7173337262860412,2.9999999999999982,-0.031058514361736192,180.0,-1.3245522066891147,1.7759253252889655e-12
 0.2551151297733267,1.9259731445676342,3.945719255722862,55.592412712751106,0.7653453893199801,3.0000000000000036,-0.033497333574604916,180.00000000000003,-1.518018161543874,-1.9023797826762027e-12
 0.27005521150107786,1.9326274445107121,3.95542661138404,55.56973339735343,0.8101656345032336,3.0,-0.036023397750628,180.0,-1.722608848961966,0.0
 0.2841000082126458,1.9392323026859908,3.9650531220674194,55.54553970625621,0.8523000246379374,2.999999999999996,-0.03863946509864354,180.0,-1.938823354475257,0.0
 0.29737701155915996,1.9457882201691301,3.9745991058890855,55.51979794209054,0.8921310346774798,2.9999999999999916,-0.0413483727802425,180.0,-2.1671299883340884,0.0
 0.3099854833063254,1.9522956980357904,3.9840648809651253,55.4924737448602,0.9299564499189762,3.0000000000000044,-0.04415304123273787,180.0,-2.4079827173822808,0.0
 0.3220045327180436,1.9587552373616317,3.993450765411624,55.46353208159742,0.9660135981541308,3.0000000000000093,-0.04705647388230737,180.0,-2.661831121562997,2.4727626326034668e-12
 0.3334984420224235,1.9651673392223137,4.002757077344669,55.432937236102596,1.0004953260672707,3.000000000000005,-0.05006175948296795,180.00000000000003,-2.9291267183099694,-2.5786662280088325e-12
 0.3445203063962205,1.9715325046934966,4.011984134880347,55.40065279867972,1.0335609191886617,3.000000000000005,-0.05317207492394166,180.0,-3.2103271317007893,0.0
 0.355114598280781,1.9778512348508406,4.021132256134743,55.36664165600156,1.0653437948423432,3.0,-0.05639068622603208,180.0,-3.505898956584825,0.0
 0.365319021002795,1.9841240307700052,4.030201759223945,55.3308659810279,1.095957063008385,2.9999999999999836,-0.059720951301610176,180.0,-3.816319789649006,0.0
 0.3751658787240383,1.990351393526651,4.039192962264038,55.29328722304046,1.1254976361721147,2.999999999999989,-0.0631663196716137,180.0,-4.142079720428224,-2.986342617744021e-12
 0.3846831086833638,1.9965338241964377,4.048106183371109,55.253866097831285,1.1540493260500913,2.9999999999999942,-0.06673033703626019,179.99999999999997,-4.483682468665641,3.0853041315356604e-12
 0.3938950723079215,2.0026718238550254,4.056941740661245,55.21256257802587,1.1816852169237642,2.999999999999988,-0.0704166444204122,180.0,-4.841646274674986,0.0
 0.40282317072058793,2.0087658935780737,4.065699952250532,55.16933588360625,1.2084695121617635,2.999999999999994,-0.07422898183499496,180.0,-5.216504622599148,0.0
 0.41148633010207025,2.014816534441243,4.074381136255056,55.124144472646435,1.2344589903062104,3.0,-0.07817118861941547,180.0,-5.608806843525286,0.0
 0.41990138907388197,2.0208242475201934,4.082985610790903,55.07694603229667,1.2597041672216456,3.0,-0.08224720549981694,180.0,-6.019118633791187,3.4736778694892195e-12
 0.4280834112700228,2.026789533890585,4.09151369397416,55.027697470033786,1.284250233810068,3.0,-0.08646107632321089,180.00000000000003,-6.44802250581056,-3.5694325515389767e-12
 0.43604594005296615,2.032712894628077,4.099965703920914,54.9763549052382,1.308137820158898,2.9999999999999862,-0.09081694895349081,180.0,-6.896118195645479,-3.664826251748215e-12
 0.4438012079641928,2.0385948308083304,4.10834195874725,54.922873661083486,1.331403623892578,2.999999999999993,-0.09531907641905271,179.99999999999997,-7.364023017250482,0.0
 0.45136031038222124,2.0444358435070047,4.116642776569256,54.867208256887366,1.354080931146663,2.999999999999978,-0.09997181933496754,179.99999999999997,-7.8523722043894315,7.70963092092522e-12
 0.4587333506021526,2.05023643379976,4.124868475503017,54.80931240080253,1.3762000518064572,3.000000000000015,-0.10477964544808842,180.00000000000003,-8.361819202357925,-3.949537928611118e-12
 0.46592956189170937,2.0559971027622566,4.133019373664619,54.7491389830573,1.3977886856751276,3.0000000000000075,-0.10974713135412173,180.0,-8.89303594722551,0.0
 0.4729574108451274,2.0617183514701534,4.1410957891701505,54.68664006968288,1.4188722325353817,3.000000000000016,-0.11487896328002918,180.0,-9.44671311735907,0.0
 0.47982468542849116,2.067400680999112,4.149098040135697,54.62176689679571,1.4394740562854729,2.9999999999999676,-0.12017993729369676,180.0,-10.023560346379497,0.0
